ID,Precip_date,Site_name,Latitude,Longitude,Elevation_masl,Commune,Sub_basin,Volunteer_initials,Precip_local_date_time,Precip_date_time,Precip_measurement_local_date_time,Precip_measurement_date_time,Depth_cm,Hardness,Local_name,Grain_size_mm,Temp_oC,Grain_type,Density_kg_m3,Snow_water_equivalent,Precip_mm,ÃŽÂ´18O_H20_1,ÃŽÂ´18O_H20_2,ÃŽÂ´D_H2O_1,ÃŽÂ´D_H2O_2,D_excess_1,D_excess_2,Comment_en,Comment_es,Sub_basin_code
Hor_5,23/06/2021,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2021-06-23T13:45,2021-06-23T17:45,2021-06-23T17:30,2021-06-23T21:30,0,,,,,,,,3.3,,,,,,,Just rain,lluvia simple,431
Alc_7,23/06/2021,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2021-06-23T12:30,2021-06-23T16:30,2021-06-24T10:30,2021-06-24T14:30,0,,,,,,,,3.5,,,,,,,Snow,nieve,431
EsBr_5,23/06/2021,Escuela Las Breas,-30.385246,-70.597572,1718,RÃƒÂ­o Hurtado,Hurtado river,GO,2021-06-23T11:00,2021-06-23T15:00,2021-06-24T08:00,2021-06-24T12:00,0,,,,,,,,1,,,,,,,"Wind from Southeast, showers of mixed snow and rain","viento sur este, chubascos de aguanieve",450
EsMa_1,23/06/2021,Escuela Maitenes de SerÃƒÂ³n,-30.357864,-70.699822,1546,RÃƒÂ­o Hurtado,Hurtado river,CR,,,,,0,,,,,,,,1,,,,,,,,,450
Pin_9,23/06/2021,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2021-06-23T13:00,2021-06-23T17:00,2021-06-24T06:00,2021-06-24T10:00,7.1,very soft,garrotillo,,,,,,8,,,,,,,"Soft wind - ""garrotillo"" and snow",viento suave - garrotillo y nieve,451
Ram_4,23/06/2021,Las Ramadas,-31.017125,-70.582831,1391,Monte Patria,Grande river alto,CCo,2021-06-23T16:00,2021-06-23T20:00,2021-06-24T08:00,2021-06-24T12:00,0,,,,,,,,11,,,,,,,,,451
Per_2,23/06/2021,Pejerreyes,-31.020177,-70.66832,1250,Monte Patria,Grande river alto,AP,,,,,0,,,,,,,,7,,,,,,,,,451
EsRa_1,23/06/2021,Escuela Las Ramadas,-31.01337,-70.561014,1427,Monte Patria,Grande river alto,MC,2021-06-23T13:45,2021-06-23T17:45,2021-06-24T08:00,2021-06-24T12:00,0,,,,,,,,10,,,,,,,,,451
EsMo_1,23/06/2021,Escuela C.H Los Molles,-30.743624,-70.599731,1310,Monte Patria,Grande river medio,JT,2021-06-23T11:00,2021-06-23T15:00,2021-06-24T09:00,2021-06-24T13:00,0,,,,,,,,4,,,,,,,Wind from West,viento oeste,452
EsBe_1,23/06/2021,Escuela Estrella de BelÃƒÂ©n,-31.055672,-70.893944,1181,CombarbalÃƒÂ¡,Guatulame river,CA,,,2021-06-24T08:15,2021-06-24T12:15,0,,,,,,,,4,,,,,,,,,453
EsQu_1,23/06/2021,Escuela Bosque de Quillay,-31.223755,-70.940407,1193,CombarbalÃƒÂ¡,Guatulame river,MG,2021-06-23T10:00,2021-06-23T14:00,2021-06-24T08:15,2021-06-24T12:15,0,,,,,,,,8,,,,,,,,,453
